Day,New Cases,Total Cases,New Deaths,Total Deaths,New Recovered,Total Recovered,Curfew,New Deaths >=60,New Deaths <60
3/15/2020,16,126,0,2,5,26,0,0,0
3/16/2020,40,166,2,4,0,26,0,1,1
3/17/2020,30,196,2,6,0,26,0,2,0
3/18/2020,14,210,0,6,2,28,0,0,0
3/19/2020,46,256,1,7,0,28,0,1,0
3/20/2020,29,285,1,8,11,39,0,1,0
3/21/2020,9,294,2,10,2,41,0,2,0
3/22/2020,33,327,4,14,15,56,0,2,2
3/23/2020,39,366,5,19,12,68,0,5,0
3/24/2020,36,402,1,20,12,80,0,0,1
3/25/2020,54,456,1,21,15,95,1,1,0
3/26/2020,39,495,3,24,7,102,1,3,0
